Acreage,Region,County,Total,year,month,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,duration,oil,Complex Type,Reporting Ranger,Fire Report Method,Ownership,Latitude,Longitude
1.0,3,Ulster,0.0,2008,4,0,0,0,0,0,0,0.0,9,5.0,"Geesler,Sarah B",911 Dispatch,Private Property,41.75745,-74.42621
46.7,4,Albany,0.0,2008,4,0,1,0,4,0,0,1.0,9,4.0,"Glesmann,Karen ",911 Dispatch,Private Property,42.4877,-74.13807
6.0,5,Essex,0.0,2008,4,0,0,0,0,0,0,0.0,1,5.0,"Platt,Charles ",911 Dispatch,Private Property,44.2041,-73.78413
1.0,7,Chenango,0.0,2008,4,0,0,0,0,0,2,0.0,5,4.0,"Prunoske,James ",911 Dispatch,Private Property,42.70596,-75.74619
0.3,5,Clinton,0.0,2008,4,0,0,0,0,0,1,0.0,7,5.0,"Fox,Daniel ",911 Dispatch,Private Property,44.29626,-73.307
0.9,4,Schoharie,0.0,2008,4,0,0,0,0,0,0,0.0,1,4.0,"Dent,Thomas I",911 Dispatch,Private Property,42.7238,-74.42277
3.5,4,Delaware,0.0,2008,4,0,0,0,0,0,0,0.0,8,4.0,"Bink,Joseph L",911 Dispatch,Private Property,42.25562,-74.02468
3.5,3,Sullivan,0.0,2008,4,0,0,0,0,0,0,0.0,1,5.0,"Seeley,Jason J",Landowner,Private Property,41.53646,-75.02141
3.2,8,Steuben,36.0,2008,4,0,0,0,0,0,0,0.0,8,5.0,"Carpenter,Timothy J",911 Dispatch,Private Property,42.3806,-77.28628
0.5,8,Steuben,0.0,2008,4,0,0,0,0,0,0,0.0,8,5.0,"Farrand,Anne M",911 Dispatch,Private Property,42.45084,-77.48978000000002
4.0,9,Allegany,0.0,2008,4,0,0,0,0,0,0,1.0,9,4.0,"Thaine,Justin T",911 Dispatch,Private Property,42.21637,-77.98818
0.1,9,Cattaraugus,0.0,2008,4,0,0,0,0,0,1,0.0,3,5.0,"Carpenter,Timothy J",Ranger Patrol,Private Property,42.48565,-78.50918
4.0,7,Chenango,0.0,2008,4,0,0,0,0,0,0,0.0,8,4.0,"Prunoske,James ",911 Dispatch,Private Property,42.45524,-75.81390999999998
4.3,8,Yates,0.0,2008,4,0,0,0,0,0,0,1.0,8,4.0,"Dormer,Patrick G",911 Dispatch,Private Property,42.57632,-77.3535
2855.0,3,Ulster,196584.0,2008,4,0,3,0,40,1,12,12.0,1,2.0,"Tyrrell,Gregory ",911 Dispatch,OPR&HP (State Parks),41.74686,-74.26252
18.4,5,Washington,0.0,2008,4,0,0,0,0,0,0,5.0,8,4.0,"Bodnar,Michael J",DEC Dispatch,Private Property,43.23385,-73.36513000000002
0.1,3,Dutchess,0.0,2008,4,0,0,0,0,0,0,0.0,1,1.0,"Dominesey,Megan M",Fire Department,Other Not Classified,41.72495,-73.73302
7.1,8,Chemung,18.0,2008,4,0,2,0,0,0,0,0.0,9,5.0,"Meehan,William X",911 Dispatch,Private Property,42.26319,-76.95427
0.5,6,Lewis,0.0,2008,4,0,0,1,0,0,2,1.0,8,4.0,"Scanlon,John ",911 Dispatch,Private Property,43.60688,-75.16643
0.2,1,Suffolk,0.0,2008,4,0,0,0,0,0,0,0.0,8,4.0,"Thompson,Michael W",Supervisor,Unique Area,40.76797,-73.30386
29.0,7,Onondaga,0.0,2008,4,0,0,0,0,0,0,2.0,1,3.0,"McPherson,James ",Other,Private Property,42.9471,-76.05934
55.0,5,Washington,0.0,2008,4,0,0,0,0,0,0,9.0,9,4.0,"Bodnar,Michael J",911 Dispatch,Private Property,43.0251,-73.2988
0.2,6,Lewis,0.0,2008,4,0,0,0,0,0,0,0.0,1,5.0,"Snyder,Jennifer M",DEC Dispatch,Private Property,43.76205,-75.51869
32.5,8,Steuben,108.0,2008,4,0,2,0,0,0,0,6.0,9,4.0,"Farrand,Anne M",911 Dispatch,Private Property,42.22999,-77.4257
4.0,5,Essex,0.0,2008,4,0,3,0,0,0,1,1.0,8,5.0,"Giglinto,James ",Ranger Patrol,Private Property,44.05972,-73.78204000000002
1.6,7,Tompkins,0.0,2008,4,0,0,0,0,0,3,0.0,8,4.0,"Oldroyd,Jeremy M",911 Dispatch,Private Property,42.42556,-76.5499
11.1,5,Saratoga,0.0,2008,4,0,1,0,0,0,0,1.0,8,4.0,"Laczko,Jaime ",911 Dispatch,Other Government,43.14742,-37.67277
14.8,3,Sullivan,0.0,2008,4,0,0,0,0,0,0,1.0,2,4.0,"Murphy,Scott ",DEC Dispatch,Private Property,41.5764,-74.45658
7.5,8,Chemung,0.0,2008,4,0,0,0,0,0,1,0.0,8,5.0,"Meehan,William X",911 Dispatch,Private Property,42.17794,-76.79268
9.0,5,Saratoga,0.0,2008,4,0,0,0,0,0,0,0.0,6,5.0,"Seifts,John ",911 Dispatch,Private Property,42.86858,-73.72295
1.8,9,Cattaraugus,0.0,2008,4,0,0,0,0,1,0,0.0,8,5.0,"Flanagan,Martin T",Landowner,Private Property,42.33228,-78.83565
19.0,9,Allegany,0.0,2008,4,0,0,0,0,0,0,0.0,6,4.0,"Thaine,Justin T",911 Dispatch,Private Property,42.26711,-77.99494
0.2,6,Lewis,0.0,2008,4,0,0,0,1,0,0,0.0,1,5.0,"Scanlon,John ",911 Dispatch,Private Property,43.91376,-75.36392
0.3,6,Lewis,0.0,2008,4,0,0,0,0,0,0,0.0,9,4.0,"Scanlon,John ",911 Dispatch,Private Property,43.68312,-75.29166
0.9,6,Lewis,0.0,2008,4,0,0,0,0,0,1,1.0,9,4.0,"Scanlon,John ",911 Dispatch,Private Property,43.78411,-75.35441999999998
1.0,6,Lewis,0.0,2008,4,0,0,0,0,0,0,0.0,2,5.0,"Snyder,Jennifer M",Sheriff,Private Property,43.95606,-75.54649
7.1,8,Steuben,0.0,2008,4,0,0,0,0,0,0,1.0,9,4.0,"Dormer,Patrick G",911 Dispatch,Private Property,42.53802,-77.3678
4.2,8,Ontario,0.0,2008,4,0,0,0,1,0,0,1.0,8,4.0,"Dormer,Patrick G",911 Dispatch,Private Property,42.59156,-77.3906
1.0,5,Washington,0.0,2008,4,0,0,0,0,0,0,0.0,9,5.0,"Laczko,Jaime ",911 Dispatch,Private Property,43.28134,-73.44244
7.0,7,Chenango,0.0,2008,4,0,0,0,0,0,0,0.0,9,4.0,"Oldroyd,Jeremy M",911 Dispatch,State Forest/RF Area,42.20173,-75.45123000000002
30.2,7,Oswego,575.34,2008,4,0,0,0,0,0,0,8.0,9,5.0,"Jackson,Scott ",911 Dispatch,Other Government,43.4695,-75.96191
3.0,8,Steuben,0.0,2008,4,0,0,0,0,0,0,0.0,8,5.0,"Farrand,Anne M",911 Dispatch,Private Property,42.19783,-77.23644
8.0,6,Herkimer,0.0,2008,4,0,0,0,0,0,0,0.0,8,2.0,"Piersma,Robert J",911 Dispatch,Private Property,43.00087,-75.03466
17.7,5,Saratoga,0.0,2008,4,0,0,0,0,0,0,10.0,8,4.0,"Goetke,Anthony G",911 Dispatch,Private Property,43.08481,-74.05688
0.4,6,Lewis,0.0,2008,4,0,0,0,1,0,0,0.0,5,4.0,"Scanlon,John ",911 Dispatch,Private Property,43.73903,-75.46789
1.0,4,Schoharie,0.0,2008,4,0,0,0,0,0,0,0.0,1,5.0,"Henry,William ",911 Dispatch,Private Property,42.51717,-74.2568
1.0,5,Essex,0.0,2008,4,0,0,0,1,0,0,2.0,3,5.0,"Praczkajlo,Robert ",911 Dispatch,Private Property,44.3838,-73.45249
1.2,5,Washington,0.0,2008,4,0,0,0,0,0,0,0.0,8,5.0,"Laczko,Jaime ",911 Dispatch,Private Property,43.5462,-73.32587
0.5,5,Washington,0.0,2008,4,0,0,0,0,0,0,2.0,1,5.0,"Bodnar,Michael J",911 Dispatch,Private Property,43.155,-73.572
0.6,9,Cattaraugus,0.0,2008,4,0,0,1,0,2,0,0.0,9,4.0,"Rogers,Robert C",911 Dispatch,Private Property,42.24309,-78.85373
1.1,9,Cattaraugus,0.0,2008,4,0,0,0,0,0,0,1.0,8,5.0,"Krulish,Wayne ",911 Dispatch,Private Property,42.21913,-78.33012
1.5,5,Washington,0.0,2008,4,0,0,0,0,0,0,1.0,8,4.0,"Schwab,Werner J",911 Dispatch,Private Property,43.41745,-73.31963
40.0,8,Ontario,195.0,2008,4,0,0,0,3,0,0,7.0,9,4.0,"Dormer,Patrick G",911 Dispatch,Private Property,42.59094,-77.47504
1.0,5,Washington,0.0,2008,4,0,0,0,0,0,0,1.0,8,4.0,"Bodnar,Michael J",911 Dispatch,Private Property,43.07065,-73.31206
2.8,9,Chautauqua,0.0,2008,4,0,0,0,0,0,0,0.0,5,5.0,"Pachan,David L",Sheriff,State Forest/RF Area,42.02263,-79.36703
0.2,4,Delaware,0.0,2008,4,0,0,0,0,0,0,0.0,8,5.0,"Bink,Joseph L",911 Dispatch,Private Property,42.16171,-74.56877
2.0,3,Dutchess,0.0,2008,4,0,0,0,0,0,0,6.0,9,4.0,"Deslauriers,Jacob P",911 Dispatch,Private Property,41.77179,-73.51751999999998
1.0,1,Suffolk,0.0,2008,4,0,0,0,0,0,0,1.0,7,4.0,"Slade,Kevin M",DEC Dispatch,Unique Area,40.78811,-73.2904
0.2,9,Cattaraugus,0.0,2008,4,0,0,0,0,1,0,1.0,6,5.0,"Rogers,Robert C",911 Dispatch,Private Property,42.19168,-78.60632
0.3,9,Allegany,0.0,2008,4,0,0,0,0,0,0,0.0,9,4.0,"Thaine,Justin T",911 Dispatch,Private Property,42.27087,-77.9755
1.0,5,Hamilton,0.0,2008,4,0,0,0,2,0,0,4.0,8,5.0,"Waters,James ",DEC Dispatch,Private Property,43.97878,-74.42514
0.4,6,Herkimer,0.0,2008,4,0,0,0,0,0,0,0.0,1,5.0,"Piersma,Robert J",DEC Dispatch,Private Property,43.02092,-74.76579
0.1,9,Allegany,0.0,2008,4,0,0,0,0,1,0,0.0,8,5.0,"Thaine,Justin T",911 Dispatch,Private Property,42.25405,-78.0732
0.4,3,Sullivan,0.0,2008,4,0,0,0,0,0,0,0.0,5,5.0,"Seeley,Jason J",911 Dispatch,Private Property,41.68054,-74.56853000000002
1.6,3,Sullivan,0.0,2008,4,0,0,0,0,0,0,0.0,7,5.0,"Seeley,Jason J",911 Dispatch,Private Property,41.57579000000001,-74.56730999999998
7.1,3,Rockland,26377.0,2008,4,0,0,0,0,0,0,5.0,9,3.0,"Prunoske,James ",Landowner,OPR&HP (State Parks),41.28785,-74.01515
18.3,4,Columbia,0.0,2008,4,0,0,0,0,0,0,4.0,9,5.0,"DiCintio,Chris A",911 Dispatch,Private Property,42.17285,-73.5549
3.5,8,Yates,9.0,2008,4,0,0,0,0,0,0,5.0,8,4.0,"Dormer,Patrick G",911 Dispatch,Private Property,42.67802,-77.30894
